id;xh;dept;name;gjjjs;grkkmx;dwkkmx;total;created_by
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;system
2;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;system
3;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;system
4;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;system
5;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;system
6;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;system
7;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;withdrawal;system
8;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;system
9;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;system
10;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;system
